Nome da pessoa;Idade da pessoa;Documento CPF;Data de Nascimento;Sexo da pessoa;Signo da Pessoa;Nome da Mãe;Telefone Fixo;Telefone Celular;Altura da Pessoa;Peso da Pessoa;Tipo Sanguíneo da Pessoa
Benjamin Miguel Elias da Mota;76;829.590.138-91;05/06/1945;Masculino;Gêmeos;Alícia Lúcia Vitória;(19) 3578-2703;(19) 99520-6432;1,68;91;A-
Danilo Carlos Santos;20;946.318.568-23;05/03/2001;Masculino;Peixes;Clarice Agatha;(11) 2660-9044;(11) 98357-1922;1,81;92;AB-
Valentina Brenda Emilly Aparício;22;528.433.068-41;12/01/1999;Feminino;Capricórnio;Jennifer Teresinha;(11) 3751-1436;(11) 99714-9495;1,58;81;AB+
Maria Julia Freitas;51;014.829.568-10;10/12/1970;Feminino;Sagitário;Sophie Lúcia;(11) 3607-5406;(11) 98107-1835;1,82;45;B+
Ryan Severino Monteiro;78;080.066.878-20;27/05/1943;Masculino;Gêmeos;Kamilly Liz;(11) 3519-7522;(11) 98447-4982;1,65;96;O-
Stella Daniela Gomes;66;764.049.938-05;08/11/1955;Feminino;Escorpião;Sophie Lívia Heloisa;(11) 3968-4391;(11) 98470-1305;1,82;64;AB-
Igor Martin Anthony Lima;68;424.317.638-89;26/05/1953;Masculino;Gêmeos;Josefa Aurora Luzia;(11) 3548-0399;(11) 98764-1850;1,87;82;AB+
Carolina Carolina Nicole Barbosa;24;863.197.148-08;12/04/1997;Feminino;Áries;Heloise Sebastiana;(11) 2710-8832;(11) 98778-6552;1,75;82;A-
Marcelo Pietro Porto;40;011.030.828-09;03/06/1981;Masculino;Gêmeos;Fátima Marcela;(11) 3793-8273;(11) 99214-7052;1,92;73;A-
Sebastiana Carolina Bernardes;23;937.069.938-48;06/09/1998;Feminino;Virgem;Rita Tatiane Marina;(11) 3865-5787;(11) 98608-0564;1,61;85;O+
Bruno Alexandre Caldeira;66;090.550.568-98;21/08/1955;Masculino;Leão;Cristiane Rita;(11) 2842-9379;(11) 98797-7288;1,92;105;AB-
Giovana Kamilly da Luz;62;963.799.208-11;17/03/1959;Feminino;Peixes;Débora Isabella Milena;(19) 2816-8125;(19) 99760-8525;1,51;74;AB-
Bianca Manuela Pinto;20;310.774.728-97;18/11/2001;Feminino;Escorpião;Natália Julia Sabrina;(11) 3887-0168;(11) 98401-6519;1,63;46;O-
Elaine Carla Cristiane da Mata;40;249.408.768-61;12/11/1981;Feminino;Escorpião;Nicole Maria;(11) 3962-7736;(11) 98295-6202;1,57;83;B-
Bento Filipe Fábio Almada;52;165.977.218-45;04/07/1969;Masculino;Câncer;Milena Carolina;(17) 2598-6981;(17) 99892-5860;1,98;64;O+
Ana Ester Pires;55;505.622.708-09;14/12/1966;Feminino;Sagitário;Rosa Vera Clarice;(16) 2808-5709;(16) 99877-4044;1,78;83;O-
Heloise Isadora Castro;51;677.675.868-98;24/09/1970;Feminino;Libra;Jennifer Simone Fabiana;(17) 3659-0282;(17) 99730-8250;1,55;75;B+
Thiago Jorge Levi Gomes;24;729.044.408-60;13/07/1997;Masculino;Câncer;Tânia Mariana Letícia;(19) 3563-3308;(19) 99498-4980;1,91;52;A+
Liz Lívia Cláudia Pinto;20;596.377.668-63;04/05/2001;Feminino;Touro;Josefa Isabelly;(11) 3727-6806;(11) 99921-6091;1,82;67;B-
Rita Débora Lúcia Jesus;54;152.660.048-00;22/04/1967;Feminino;Touro;Elisa Sophie Helena;(11) 3663-6174;(11) 98275-6631;1,77;55;O+
Isabelle Amanda Gomes;76;950.823.348-67;21/08/1945;Feminino;Leão;Amanda Elisa Tatiane;(11) 3916-3789;(11) 99304-4320;1,77;60;A+
Emilly Márcia Novaes;58;878.320.328-12;03/10/1963;Feminino;Libra;Stefany Emanuelly;(17) 2757-1549;(17) 98806-4712;1,79;81;AB-
Caio Thiago Fábio Moura;40;243.664.708-96;23/04/1981;Masculino;Touro;Caroline Sueli;(12) 3819-0034;(12) 98313-4972;1,6;85;O+
Sandra Simone Cavalcanti;67;603.026.868-60;07/09/1954;Feminino;Virgem;Melissa Teresinha;(11) 3740-5010;(11) 99994-7718;1,54;89;O-
Andreia Gabrielly Laura Duarte;68;048.323.118-59;19/09/1953;Feminino;Virgem;Natália Raimunda;(11) 3649-1189;(11) 98619-6265;1,57;66;A-
Fabiana Isabella Isabelly Vieira;51;079.005.458-24;04/04/1970;Feminino;Áries;Isadora Daiane Vitória;(11) 2930-2822;(11) 99192-5604;1,74;86;A-
Fernando Gustavo Carvalho;65;202.385.788-01;26/10/1956;Masculino;Escorpião;Isis Caroline;(12) 2625-0093;(12) 99783-0242;1,89;85;O+
Alice Lara Adriana Moura;68;949.659.598-76;12/02/1953;Feminino;Aquário;Sarah Luciana;(11) 3662-5085;(11) 99451-3808;1,68;52;AB-
Josefa Antonella da Cruz;65;036.302.378-00;14/09/1956;Feminino;Virgem;Malu Mirella;(11) 3672-5462;(11) 99283-4964;1,6;50;O+
Kaique Marcos Luiz Pinto;27;035.220.028-65;10/08/1994;Masculino;Leão;Juliana Catarina;(11) 2581-9630;(11) 99909-3476;1,86;65;A+
Manoel Tomás da Conceição;39;514.505.488-22;21/04/1982;Masculino;Touro;Tereza Laura Andrea;(11) 3756-9091;(11) 99420-5707;1,86;72;A-
Sebastião Raul Gomes;51;928.454.468-88;01/12/1970;Masculino;Sagitário;Lara Teresinha Esther;(11) 3924-0923;(11) 99803-5356;1,6;52;AB-
Marlene Natália Alves;62;505.706.978-08;17/10/1959;Feminino;Libra;Ayla Rita Renata;(19) 3520-6564;(19) 98865-1293;1,62;50;A-
Silvana Carolina Santos;51;015.354.258-65;19/04/1970;Feminino;Áries;Isabel Pietra;(18) 2787-7604;(18) 99272-9013;1,59;45;A-
Isabela Giovanna Cecília Barros;42;227.822.768-83;07/08/1979;Feminino;Leão;Flávia Jaqueline Fernanda;(19) 2987-5178;(19) 98536-0625;1,79;77;O-
Caleb Gael Bento Assunção;66;744.783.558-78;10/03/1955;Masculino;Peixes;Regina Nina;(11) 2656-2089;(11) 98530-2989;1,83;91;B+
Erick Felipe Assunção;77;457.508.988-57;18/07/1944;Masculino;Câncer;Heloise Renata Isabel;(12) 3786-8478;(12) 99830-5755;1,61;105;AB-
Martin Carlos João Mendes;76;504.922.528-07;18/02/1945;Masculino;Aquário;Mirella Brenda Raimunda;(19) 3835-2279;(19) 98443-3635;1,84;58;A+
Marcos Nicolas Theo Viana;33;132.813.988-39;04/06/1988;Masculino;Gêmeos;Sophia Sarah Cristiane;(19) 2527-0887;(19) 99829-2429;1,81;75;AB-
Carolina Vanessa Tatiane Ramos;64;751.031.508-59;26/12/1957;Feminino;Capricórnio;Louise Isadora Caroline;(14) 3724-4217;(14) 98470-8196;1,85;55;B-
Silvana Eduarda Sophia Ribeiro;26;704.104.248-03;11/11/1995;Feminino;Escorpião;Sophia Lúcia Tatiane;(11) 3930-7646;(11) 99572-1720;1,7;87;A-
Yago Manoel Baptista;66;631.468.668-70;10/04/1955;Masculino;Áries;Clarice Sônia Tereza;(19) 2959-1296;(19) 99606-5513;1,78;99;B-
Filipe Caleb Aragão;25;957.801.268-36;22/03/1996;Masculino;Áries;Daiane Kamilly;(18) 2794-1610;(18) 98940-4018;1,75;50;O-
Enrico Eduardo Thales Carvalho;47;624.261.908-33;20/08/1974;Masculino;Leão;Lívia Vera Julia;(16) 3783-6860;(16) 99610-5333;1,75;108;B-
Lavínia Rafaela Carolina da Costa;44;239.724.778-05;20/12/1977;Feminino;Sagitário;Lúcia Luna;(11) 3845-7504;(11) 98327-9527;1,52;46;A+
Raquel Louise Santos;72;716.477.328-91;04/06/1949;Feminino;Gêmeos;Fátima Camila;(19) 2678-2282;(19) 98868-6866;1,59;79;A+
Yasmin Rebeca Juliana Gomes;45;605.762.028-35;22/10/1976;Feminino;Libra;Aparecida Tereza;(11) 2599-7183;(11) 98412-4613;1,74;82;AB-
Mariah Ayla Dias;77;322.772.628-97;09/06/1944;Feminino;Gêmeos;Gabriela Nina Patrícia;(17) 2855-3779;(17) 99840-1772;1,58;56;AB+
Renan Mateus Davi Costa;47;998.658.498-10;10/01/1974;Masculino;Capricórnio;Teresinha Maria;(12) 2806-5504;(12) 98695-2289;1,98;50;B+
Ryan Igor Rafael da Silva;37;087.883.278-50;12/08/1984;Masculino;Leão;Helena Catarina Antonella;(12) 2590-6056;(12) 99572-7862;1,72;72;O-
Benjamin Emanuel Enrico Ferreira;79;275.975.858-37;07/01/1942;Masculino;Capricórnio;Allana Hadassa;(12) 2718-9102;(12) 99171-9425;1,63;58;A-
Caroline Alana Malu Jesus;25;807.880.058-47;08/11/1996;Feminino;Escorpião;Catarina Julia;(11) 3877-2394;(11) 99724-9807;1,81;59;AB+
Leandro Ruan Duarte;23;972.213.728-02;14/04/1998;Masculino;Áries;Sophie Agatha;(11) 3997-9884;(11) 99955-6298;1,8;63;AB-
Ian André Bryan Santos;65;510.767.318-05;14/02/1956;Masculino;Aquário;Eduarda Kamilly;(11) 3942-5530;(11) 98909-2398;1,87;91;AB+
Benício Igor Filipe Barros;42;450.345.448-06;13/12/1979;Masculino;Sagitário;Aurora Eloá Rayssa;(15) 3589-6254;(15) 98890-5934;1,92;92;O+
Igor Samuel Gabriel Nunes;37;108.593.188-93;24/03/1984;Masculino;Áries;Elaine Clara;(11) 3514-4465;(11) 99635-4073;1,73;80;O-
Nina Jéssica Cavalcanti;64;400.435.488-90;12/11/1957;Feminino;Escorpião;Luciana Analu Marlene;(11) 2620-6842;(11) 98559-7481;1,66;54;A-
Elaine Rita Rocha;33;203.624.918-36;20/02/1988;Feminino;Peixes;Rosângela Camila;(19) 2700-2439;(19) 98222-5950;1,77;55;AB+
Igor Levi Vinicius Vieira;62;917.415.098-74;02/10/1959;Masculino;Libra;Alice Giovanna Tatiane;(12) 2506-4235;(12) 98721-4444;1,71;87;AB+
Yuri Daniel Igor Castro;79;633.186.618-30;24/11/1942;Masculino;Sagitário;Aline Patrícia;(18) 3710-4727;(18) 99318-6785;1,8;94;O+
Miguel Rafael José Fogaça;69;631.971.958-33;12/06/1952;Masculino;Gêmeos;Marli Brenda Bianca;(19) 3908-3602;(19) 99789-3276;1,96;75;B+
Ian Guilherme Manoel Moura;24;293.395.678-03;02/02/1997;Masculino;Aquário;Malu Analu;(11) 3686-8383;(11) 98968-5020;1,67;81;AB-
Kauê Marcos Juan da Paz;77;101.529.628-91;11/04/1944;Masculino;Áries;Julia Márcia;(16) 2830-5395;(16) 98245-1890;1,98;88;A-
Caleb Levi Bruno Barros;26;020.216.648-13;10/02/1995;Masculino;Aquário;Silvana Tereza;(18) 2753-8461;(18) 99388-4890;1,84;104;A-
Carolina Sophia Cavalcanti;51;378.440.458-84;10/12/1970;Feminino;Sagitário;Helena Alice;(11) 3526-7988;(11) 98337-5603;1,6;57;A+
Lavínia Isabela da Conceição;33;768.687.838-41;27/12/1988;Feminino;Capricórnio;Marli Simone;(19) 2531-7458;(19) 98410-5094;1,82;89;A-
Kauê Pedro Henrique Cavalcanti;75;704.526.808-40;09/11/1946;Masculino;Escorpião;Bruna Fabiana;(11) 2925-3830;(11) 98838-8949;1,83;83;O-
Tatiane Yasmin Corte Real;37;056.089.938-61;11/03/1984;Feminino;Peixes;Stefany Sophia Fabiana;(19) 3848-7102;(19) 99108-4267;1,5;62;O+
Flávia Natália Silva;56;952.325.888-50;22/09/1965;Feminino;Virgem;Daiane Gabriela Jennifer;(11) 3784-5027;(11) 98149-2253;1,73;83;O+
Tatiane Yasmin Oliveira;65;287.150.048-72;23/05/1956;Feminino;Gêmeos;Ester Emilly;(14) 3750-6666;(14) 98458-0172;1,58;46;B+
Rita Rosa Isabela Lima;33;144.340.868-98;27/12/1988;Feminino;Capricórnio;Sueli Daniela;(11) 3770-2086;(11) 99695-4949;1,51;63;B+
Elaine Bárbara Almeida;24;346.860.568-45;27/05/1997;Feminino;Gêmeos;Mariah Jaqueline;(13) 2538-5309;(13) 99324-8003;1,55;46;A+
Flávia Allana Kamilly Nascimento;73;376.395.898-35;22/03/1948;Feminino;Áries;Luana Ana Camila;(11) 2661-3955;(11) 98338-4750;1,65;82;B+
Lara Laura Aragão;25;776.443.288-15;12/01/1996;Feminino;Capricórnio;Alícia Fátima Larissa;(11) 2794-5615;(11) 99217-2044;1,5;88;AB-
Julia Vitória Vera Baptista;23;819.610.708-04;26/03/1998;Feminino;Áries;Bianca Sebastiana;(14) 3901-5191;(14) 99541-9229;1,57;57;O-
Ian Pietro Silveira;46;198.235.688-04;02/12/1975;Masculino;Sagitário;Heloisa Rayssa;(19) 3563-8426;(19) 99981-2716;1,6;102;A-
Arthur Vicente Silva;77;210.949.318-61;07/10/1944;Masculino;Libra;Helena Emily;(11) 3588-3518;(11) 99324-8759;1,6;73;O-
Mário Ricardo Teixeira;26;085.119.188-68;05/06/1995;Masculino;Gêmeos;Sophie Sônia Rayssa;(14) 3684-6568;(14) 98662-9975;1,86;87;B-
Heloise Clara Araújo;33;796.031.338-50;08/07/1988;Feminino;Câncer;Tatiane Carla;(11) 2965-0248;(11) 99859-3646;1,58;74;A-
Benedito Enrico Cauê Souza;42;339.274.008-07;03/02/1979;Masculino;Aquário;Francisca Alice;(14) 3831-3578;(14) 99853-5154;1,73;69;B+
Bruno Antonio Nascimento;65;168.851.878-95;10/08/1956;Masculino;Leão;Patrícia Aurora;(17) 3708-8149;(17) 98329-3716;1,7;59;O+
Rosângela Eloá da Rocha;65;074.077.108-64;27/08/1956;Feminino;Virgem;Marli Luiza;(11) 2515-9311;(11) 99862-9702;1,64;61;B+
Giovanna Andrea Mariah Almeida;79;830.286.338-68;01/01/1942;Feminino;Capricórnio;Pietra Nina;(11) 2551-4598;(11) 99543-4313;1,61;65;A+
Milena Vitória da Paz;37;908.434.948-24;11/06/1984;Feminino;Gêmeos;Silvana Sebastiana Olivia;(19) 2829-8202;(19) 98340-5300;1,66;60;B-
Camila Fabiana Fogaça;56;825.659.478-01;16/02/1965;Feminino;Aquário;Lúcia Louise Heloise;(11) 2938-8950;(11) 99562-6676;1,56;84;A-
Luciana Fabiana Josefa Assunção;39;580.890.198-70;18/01/1982;Feminino;Capricórnio;Eduarda Lorena;(16) 2580-4757;(16) 98556-5362;1,59;87;B+
Manoel Leonardo Jorge Castro;59;712.319.228-18;15/09/1962;Masculino;Virgem;Aurora Emily Nicole;(19) 2814-6791;(19) 98826-0325;1,77;78;A+
Gabriel Tiago Francisco Peixoto;45;866.377.898-87;17/03/1976;Masculino;Peixes;Bárbara Sophia;(11) 3719-0498;(11) 99373-5863;1,86;52;B-
Bianca Sabrina Cláudia Novaes;72;308.588.438-62;16/11/1949;Feminino;Escorpião;Lavínia Vitória;(13) 3793-0018;(13) 99878-2742;1,78;55;AB-
Mariana Sebastiana Lúcia Fernandes;47;895.029.228-91;24/07/1974;Feminino;Leão;Mariana Catarina Brenda;(18) 3980-2452;(18) 98668-0670;1,5;48;O+
Marcelo Mário Felipe Duarte;47;063.461.798-29;13/09/1974;Masculino;Virgem;Beatriz Isabelly;(11) 2539-3106;(11) 98298-2521;1,97;100;O-
Sophia Helena Cecília de Paula;33;671.327.988-04;05/07/1988;Feminino;Câncer;Catarina Emilly Larissa;(12) 2839-9341;(12) 99663-2109;1,59;55;A+
Renan Bernardo da Paz;27;002.870.368-55;22/12/1994;Masculino;Capricórnio;Emilly Carolina;(11) 3591-0709;(11) 98497-1215;1,68;103;A+
Caleb Elias Martins;64;513.643.278-05;10/12/1957;Masculino;Sagitário;Eduarda Lúcia;(11) 3969-1027;(11) 98441-4724;1,65;110;A-
Erick Samuel Renan de Paula;22;443.866.128-58;22/04/1999;Masculino;Touro;Bárbara Sebastiana Regina;(19) 2532-1777;(19) 99305-6103;1,76;61;A+
Joana Daiane Fernanda Cavalcanti;47;721.836.178-10;01/09/1974;Feminino;Virgem;Daiane Sabrina Stefany;(11) 2726-0778;(11) 98722-3102;1,72;85;B-
Clara Raimunda da Conceição;64;302.839.108-28;16/01/1957;Feminino;Capricórnio;Marlene Sebastiana Vanessa;(11) 3827-8799;(11) 99919-1553;1,72;77;B+
Allana Sandra Teixeira;24;147.791.308-40;02/05/1997;Feminino;Touro;Emilly Letícia Clarice;(19) 3630-8249;(19) 98906-4890;1,51;72;AB+
Fabiana Luciana Novaes;64;679.861.418-32;06/03/1957;Feminino;Peixes;Allana Marlene;(19) 2728-9255;(19) 98389-5796;1,75;47;AB+
Caroline Marina Alice Dias;59;397.565.488-00;03/12/1962;Feminino;Sagitário;Eliane Vitória Simone;(19) 2595-2144;(19) 99333-2739;1,76;85;B+
Benício Yuri Nathan Monteiro;65;511.944.428-89;12/08/1956;Masculino;Leão;Luzia Heloisa;(11) 3611-5173;(11) 98103-0393;1,98;66;B-
Antonella Luiza Dias;25;428.208.358-13;19/07/1996;Feminino;Câncer;Aurora Elaine;(14) 2780-0486;(14) 98171-8778;1,53;48;O-
Paulo Luís Peixoto;68;689.807.288-91;08/10/1953;Masculino;Libra;Vanessa Raquel;(19) 2530-9065;(19) 98128-6518;1,73;77;AB-
Esther Nicole Peixoto;23;306.251.888-02;21/04/1998;Feminino;Touro;Hadassa Sara Mariana;(14) 2866-4959;(14) 98800-0873;1,71;68;A+
Alícia Antonella Rafaela da Rosa;42;309.262.788-19;04/10/1979;Feminino;Libra;Lavínia Andrea;(11) 3504-2054;(11) 98604-8435;1,59;71;B-
Renata Alice Freitas;33;842.027.228-09;24/02/1988;Feminino;Peixes;Tatiane Sônia;(12) 3958-4466;(12) 98862-4606;1,79;63;O+
Isabelle Lara Tereza Moura;76;292.546.918-36;17/05/1945;Feminino;Touro;Maria Aurora;(11) 3940-2014;(11) 98627-5776;1,84;64;O+
Guilherme Elias Bruno Nascimento;66;103.235.038-53;26/09/1955;Masculino;Libra;Heloisa Isadora Mariana;(19) 2540-3533;(19) 98458-8781;1,96;66;O+
Lorena Simone Freitas;68;892.769.408-20;09/11/1953;Feminino;Escorpião;Marli Bianca Esther;(12) 3976-2579;(12) 98102-8323;1,67;85;B-
Antonio Igor da Paz;47;139.456.278-00;23/11/1974;Masculino;Sagitário;Cláudia Isabelle Vitória;(11) 2987-0678;(11) 99537-6499;1,67;60;B-
Caroline Fátima Mariana Costa;44;734.711.848-48;19/11/1977;Feminino;Escorpião;Evelyn Analu;(14) 3755-5454;(14) 99622-5171;1,82;75;A+
Cláudio Kaique Brito;59;883.483.158-61;13/09/1962;Masculino;Virgem;Yasmin Jaqueline;(17) 2932-3252;(17) 98250-7900;1,67;53;A-
Antonella Ayla Novaes;33;585.159.468-31;10/08/1988;Feminino;Leão;Stefany Allana Rosângela;(19) 3535-3696;(19) 99538-3465;1,75;47;B-
Noah Felipe Rodrigo Martins;39;363.571.798-33;03/08/1982;Masculino;Leão;Marlene Olivia;(16) 2755-3860;(16) 98411-3012;1,85;106;O-
Nair Carolina Simone de Paula;43;707.813.518-04;06/04/1978;Feminino;Áries;Patrícia Ester Clara;(19) 2632-9638;(19) 98218-6446;1,7;61;AB+
Ana Adriana Silva;76;314.182.038-40;25/10/1945;Feminino;Escorpião;Kamilly Milena Francisca;(11) 2763-3317;(11) 98558-7760;1,85;68;AB-
Sarah Renata Sophia da Cruz;52;483.429.128-68;15/01/1969;Feminino;Capricórnio;Vera Daiane Raquel;(16) 2687-3769;(16) 99256-8130;1,59;51;A-
Francisca Raimunda Silveira;25;172.636.768-18;01/05/1996;Feminino;Touro;Luna Louise;(11) 3938-1670;(11) 98819-4277;1,67;76;A-
Paulo Ryan Oliveira;46;331.642.868-21;24/12/1975;Masculino;Capricórnio;Tereza Kamilly Bruna;(14) 2955-7029;(14) 98246-3473;1,8;109;B+
Gael Murilo Gonçalves;33;481.503.408-74;12/09/1988;Masculino;Virgem;Melissa Isabelle Rosângela;(16) 3964-1574;(16) 98396-4234;1,72;62;A+
Vitória Isis Cláudia Pinto;42;300.291.798-23;03/01/1979;Feminino;Capricórnio;Esther Josefa Vitória;(11) 3826-0200;(11) 99935-7253;1,73;84;AB-
Francisca Brenda da Mata;69;598.956.068-00;27/01/1952;Feminino;Aquário;Rita Elza;(12) 2750-4186;(12) 98403-7670;1,62;73;A-
Breno Otávio Nicolas Rezende;37;849.321.008-09;13/07/1984;Masculino;Câncer;Adriana Natália;(11) 3757-4207;(11) 99666-6885;1,94;67;AB-
Luzia Analu Sophia das Neves;69;033.919.628-95;27/05/1952;Feminino;Gêmeos;Maya Sophie;(11) 2892-2424;(11) 98566-0336;1,78;54;A+
Isadora Emily Luana da Mata;69;812.859.428-17;25/09/1952;Feminino;Libra;Cristiane Alessandra;(11) 3968-9771;(11) 99793-7005;1,55;45;A+
Brenda Nicole Bernardes;24;777.673.068-87;20/07/1997;Feminino;Câncer;Fernanda Amanda;(11) 3803-4006;(11) 98497-3165;1,79;57;B+
Nathan Filipe Assunção;65;442.816.528-50;02/04/1956;Masculino;Áries;Letícia Aparecida Clara;(11) 2622-3336;(11) 98749-9101;1,65;80;O-
Luzia Sabrina Alana Nunes;62;389.590.608-52;22/05/1959;Feminino;Gêmeos;Allana Stella Rosângela;(13) 3571-3074;(13) 98648-6061;1,6;84;B+
Cauã Yago de Paula;56;253.761.978-16;26/10/1965;Masculino;Escorpião;Ester Sara;(11) 2890-0218;(11) 99472-4666;1,75;82;O-
Sebastiana Clara Josefa Nunes;66;961.502.708-15;25/09/1955;Feminino;Libra;Cecília Pietra;(19) 2558-0207;(19) 99308-5533;1,76;52;AB+
Marcela Antônia Gabrielly da Luz;33;164.036.498-68;23/05/1988;Feminino;Gêmeos;Luana Emily Marina;(12) 2993-9531;(12) 98501-6673;1,51;70;O+
Iago Juan Moura;33;948.257.088-03;20/12/1988;Masculino;Sagitário;Emanuelly Isabelly Tereza;(19) 3758-9947;(19) 99771-8248;1,74;95;AB-
Marli Helena Moraes;75;450.679.038-30;17/02/1946;Feminino;Aquário;Helena Julia Aurora;(11) 2990-1575;(11) 99757-9321;1,57;54;A-
Diego Cauê Almada;72;114.490.018-23;13/03/1949;Masculino;Peixes;Alana Tatiane;(14) 3593-8474;(14) 98964-9506;1,98;108;B-
Pietra Josefa Teixeira;44;674.538.448-51;14/11/1977;Feminino;Escorpião;Milena Daniela;(11) 2710-5742;(11) 99874-7592;1,84;88;AB+
Carlos Luan Igor Nunes;58;731.509.028-27;03/07/1963;Masculino;Câncer;Amanda Marlene Daniela;(19) 3882-0776;(19) 99321-4043;1,99;75;O+
Allana Elza Fogaça;59;594.623.308-40;14/05/1962;Feminino;Touro;Isabella Carolina;(11) 2979-0021;(11) 98474-7632;1,82;75;AB-
Henry Caio Almada;72;877.635.228-52;11/02/1949;Masculino;Aquário;Eliane Sebastiana;(19) 3525-8189;(19) 98412-8250;1,8;50;A-
Natália Sandra da Costa;68;128.256.908-21;14/11/1953;Feminino;Escorpião;Elaine Isabelle;(11) 2776-9276;(11) 98592-6490;1,75;68;B-
Danilo Caio Silveira;27;114.196.418-08;20/09/1994;Masculino;Virgem;Gabriela Sophia;(11) 3979-1749;(11) 99697-4173;1,7;109;A-
Luiza Olivia Eliane Baptista;79;952.326.728-00;25/06/1942;Feminino;Câncer;Juliana Bruna;(14) 3548-6509;(14) 99547-7666;1,6;51;B-
Flávia Jennifer Moraes;65;842.060.288-42;27/01/1956;Feminino;Aquário;Esther Sarah Eduarda;(17) 3809-8206;(17) 99878-4574;1,58;87;A-
Patrícia Josefa Isabel Lima;65;174.466.958-97;08/03/1956;Feminino;Peixes;Allana Carolina Josefa;(11) 2742-6535;(11) 98330-0577;1,68;87;O-
Helena Julia Duarte;66;270.289.868-88;27/11/1955;Feminino;Sagitário;Rosa Sara Kamilly;(17) 2758-2408;(17) 98253-9713;1,67;61;A+
Malu Silvana Lavínia Lima;25;598.707.298-00;15/04/1996;Feminino;Áries;Sarah Lívia Letícia;(13) 2888-0892;(13) 99875-2611;1,71;83;AB+
Vicente Marcos Eduardo Gomes;58;420.741.258-10;21/07/1963;Masculino;Câncer;Alana Rayssa Caroline;(19) 2683-0628;(19) 99854-6094;1,83;95;O+
Caio Vitor Melo;77;065.359.408-96;24/01/1944;Masculino;Aquário;Mariana Sabrina Malu;(14) 3815-1730;(14) 99421-3236;1,68;54;A-
Daiane Gabrielly Marli Ferreira;73;449.787.158-49;04/03/1948;Feminino;Peixes;Larissa Lívia Evelyn;(11) 3937-3672;(11) 98311-7666;1,83;89;A-
Pietra Benedita Lavínia Mendes;24;841.875.908-97;08/04/1997;Feminino;Áries;Débora Regina Nair;(11) 3674-4919;(11) 98142-9659;1,61;55;AB+
Renato Gael dos Santos;72;728.507.878-68;01/11/1949;Masculino;Escorpião;Laís Stella;(11) 2585-0063;(11) 99563-7968;1,74;88;O+
Diego Henry Moreira;58;009.381.018-03;09/10/1963;Masculino;Libra;Sebastiana Rebeca;(19) 2869-8592;(19) 99392-4160;1,78;64;B-
Samuel Alexandre Gabriel Mendes;65;890.150.788-90;17/02/1956;Masculino;Aquário;Luzia Sophie;(11) 2524-0011;(11) 98986-2653;1,84;91;O-
Eliane Bárbara Pires;58;086.505.648-01;07/03/1963;Feminino;Peixes;Isabel Larissa Alícia;(18) 2934-3520;(18) 98645-6159;1,62;63;B+
Lorenzo Sérgio Lima;23;731.170.138-49;04/05/1998;Masculino;Touro;Agatha Aparecida;(11) 2732-1860;(11) 99215-6380;1,93;75;A-
Guilherme Erick Pedro Henrique Galvão;25;298.922.918-32;22/05/1996;Masculino;Gêmeos;Lorena Esther Cristiane;(19) 3607-2881;(19) 98716-8697;1,81;66;A+
Eduardo Pedro Ruan da Paz;69;266.272.518-41;19/01/1952;Masculino;Capricórnio;Isabelle Fabiana Maitê;(13) 2753-5812;(13) 99180-8933;1,89;79;B+
Emily Adriana Silva;24;093.920.248-43;19/06/1997;Feminino;Gêmeos;Tatiane Camila Sueli;(11) 3985-8065;(11) 98970-7171;1,59;60;B-
Noah João Thales Galvão;68;344.356.298-10;04/11/1953;Masculino;Escorpião;Elza Jaqueline;(16) 2520-0593;(16) 99863-8655;1,83;83;B+
Bryan Guilherme Otávio Carvalho;25;085.792.558-05;01/02/1996;Masculino;Aquário;Marli Isabela Liz;(11) 2701-6625;(11) 98626-1607;1,87;64;AB+
Carlos Theo Sales;44;410.384.018-87;27/10/1977;Masculino;Escorpião;Emanuelly Heloisa;(19) 2551-5588;(19) 98394-8809;1,82;100;A-
César Breno Iago Campos;51;458.410.468-96;04/02/1970;Masculino;Aquário;Raquel Tânia Luna;(19) 3980-5050;(19) 99411-0316;1,91;89;A-
Márcio Gabriel da Conceição;52;166.323.248-27;01/05/1969;Masculino;Touro;Sônia Yasmin;(11) 2697-7573;(11) 99411-8689;1,89;80;O-
Augusto André Miguel Castro;43;540.853.608-41;05/01/1978;Masculino;Capricórnio;Luzia Mariah Francisca;(18) 2579-3472;(18) 98450-1637;1,89;84;B+
Ester Márcia Clarice Ribeiro;76;639.367.838-02;27/12/1945;Feminino;Capricórnio;Maitê Teresinha;(11) 2829-0448;(11) 98898-2560;1,84;70;A-
Ian Manoel Thomas Moreira;59;780.859.378-83;24/04/1962;Masculino;Touro;Bianca Yasmin Fabiana;(19) 3906-9360;(19) 98122-7393;1,96;86;AB+
Milena Fabiana Márcia Pires;25;914.258.478-70;27/01/1996;Feminino;Aquário;Daniela Regina Mariah;(11) 2762-0473;(11) 99219-4972;1,75;75;A+
Stella Gabriela Nunes;27;888.491.348-94;22/11/1994;Feminino;Sagitário;Antônia Tânia;(18) 3799-8149;(18) 99219-2083;1,72;71;AB-
Filipe Gustavo Santos;46;263.244.428-45;03/11/1975;Masculino;Escorpião;Alice Fátima Helena;(11) 3529-0390;(11) 98376-3768;2;51;B-
